Name,Type,Subtype,Prerequisite,Description,Additional Notes,Martial,Spellcasting,Mastery,Offensive,Defensive,Skill,Racial,Flavour,Exclusive,Prereq,Rest,Exploration,Roleplay,Movement,Meta,Piety,
Smell of Fear,Chromatic,Wind,,You are aware of all creatures with the {@condition frightened} condition within 120 feet of you. You can't have disadvantage on attack rolls against them. ,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Weatherman,Chromatic,Wind,,"You may force a reroll of the weather. Additionally you are unaffected by conditions imposed due to extreme cold, wind or rain. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
Warrior of Wood,Chromatic,Wood,,"Whenever you crit on an attack roll you may deal an additional 1d4 poison damage. For the next minute, at the start of every turn the creature must succeed on a Constitution saving throw against your Chromatic save DC or take another 1d4 poison damage. On a success the effect ends.",,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Endured Suffering,Chromatic,Wood,Spellcasting,"When you cast a spell and a creature critically fails their saving throw with a duration, the length of the spell is doubled. ",,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Chromatic Kobold maleability,Chromatic,,{@race Kobold | mpmm},"Whenever you finish a short rest in an area where a chromatic dragons presence has an effect on the environment, you may choose to change one of your Chromatic Orenth traits to one connected to that dragon type. You cannot change this trait in this way.
Additionally you more easily blend in with other kobolds. You have advantage on Dexterity (Stealth) and Charisma (Deception) checks made to convince others that you are a different kind of kobold.",,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,
Enhanced Chromatic Breath Weapons,Chromatic,,{@race Dragonborn (Chromatic)},"Your breath weapon deals 1d10 extra damage, and you may calculate the save DC using your Wisdom modifier instead of your Constitution modifier.",,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Elemental Connection,Chromatic,,,You can telepathically communicate with any elemental within 30 feet of you. Additionally you have advantage on Charisma checks when communicating with them.,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
Elemental Fighting Adept,Chromatic,,{@race kobold},"When wielding a light weapon, you may choose to use your Wisdom in place of Strength of Dexterity for the attack and damage rolls.",,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dragon Spellcasting,Chromatic,,{@race Dragonborn (Chromatic)},"Once per long rest when you cast a spell, you may double your proficiency bonus for the attack roll or Spell Save DC.",,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Mark of Tiamat,Chromatic,,{@race Genasi},"Pick one of the following skills: Persuasion, Intimidation, Deception, Arcana, Nature or Religion. Whenever you make a check with this skill you can choose to use your Wisdom modifier instead of another ability score.",,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Specific Resistance,Cosmic,Abberant,The Ability to cast a spell from the chosen School,You are in touch with a specific type of magic allowing you to tap into how they work. Choose one of the schools of magic. You get advantage on saving throws against spells from that school of magic.,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Unnatural Limbs,Cosmic,Abberant,,"You gain an additional arm. You can grasp things with your arm, and you can use it as a snorkel. It has a reach of 5 feet, and it can lift a number of pounds equal to five times your Strength score. You can use it to do the following simple tasks: lift, drop, hold, push, or pull an object or a creature; open or close a door or a container; grapple someone; or make an unarmed strike. Your DM might allow other simple tasks to be added to that list of options. It can't wield weapons or shields or do anything that requires manual precision, such as using tools or magic items or performing the somatic components of a spell.",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
Call of the Sun,Cosmic,Sun,,Whenever you hit a creature you may force them to make a Charisma saving throw (DC=8+your proficiency bonus+your Charisma modifier). On a failed save they gain the fiend creature type in addition to their normal creature type until they finish a long rest. You may use this feature a number of times equal to your Charisma modifier and regain all uses at the end of a long rest. ,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Summon the Sun,Cosmic,Sun,,"Once per long rest when you cast a spell that creates bright light, the bright light counts as sunlight for the next hour. ",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
Explosive Crits,Cosmic,Weapon Mastery,An Orenth trait with the Weapon Mastery subtype.,"Your mastery over your weapon grants you greater efficiency when perfectly striking your opponents. 
When you crit with a weapon that a Weapon Mastery Orenth trait applies to, your dice can explode, meaning when you roll maximum damage on a die you can roll an additional damage die of the same value. The amount of exploding dice rolled can technically be infinite, but after rolling an amount of exploding dice equal to your proficiency bonus you start taking the exploding damage yourself. ",,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Unusual nature,Cosmic,,,You don’t require food or drink.,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
Physical Magic Resistance,Cosmic,,,You gain resistance to magical bludgeoning/piercing/slashing damage. This resistance disappears until the end of your next turn whenever you take psychic damage. ,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Elven Eyes,Fey,Elf,Elf or half-elf,"You can see up to 1 mile away with no difficulty, able to discern even fine details as though looking at something no more than 100 feet away from you. Additionally the curvature of the planet you are on doesn’t interfere with your eyesight.",,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
Elven Suppleness,Fey,Elf,Elf or half-elf,Your walking speed increases by 5 feet. You also do not leave footprints.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
Focused Expert,Fey,Elf,Elf,When you pick this Orenth you lose proficiency with one skill and gain expertise in another one. ,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Slow Death,Fey,Elf,Elf,You cannot fail more than 1 death save per round of combat. ,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
The Elvenest Eyes,Fey,Elf,Elvenier Eyes,"Once per Long Rest you can ignore the maximum range of a ranged weapon you have, instead treating any creature you can see as being within range. ",,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Rage of the Small,Fey,Gobos,Goblin,Your fury has turned into a rage. Your Fury of the Small damage increases to 2 times your Proficiency Bonus. In addition you can use it a number of times up to 2 times your Proficiency Bonus.,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Make em Gobble,Fey,Gobos,Goblin,"You learn to put your sharp teeth to good use. You get a bite attack which does 1d4+ Str piercing damage. In addition you also always add your Fury of the Small damage to this attack, but it is still limited to once per turn. This does not expend a use of Fury of the Small.",,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Hoblin,Fey,Gobos,Goblin,You have learned from your one syllable longer racial sibling. You are considered Hobgoblin and a Bugbear for the sake of Orenth prerequisites.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
Opportunity of the Small,Fey,Gobos,Goblin,Your small size gives you a slight advantage against larger foes. In battle you can flank your opponent regardless of their size.,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Weird Magic,Fey,Hag ,,"When a creature casts a spell within 60 feet of you, you may use your reaction to disturb the spell. Roll on the {@table Weird magic table|oreorenth}. The result of your roll applies to the spell cast.
You may use this trait once per long rest. ",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Vampiric Strikes,Fey,Vampire,,"Whenever you hit with an unarmed strike you can gain a number of temporary hit points equal to your Charisma modifier. You may use this trait a number of times equal to your proficiency bonus, and regain all uses at the end of a long rest.",,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Mind of the Fey,Fey,,,You may use Wisdom or Intelligence for any Fey Orenth traits. Choose when you pick this trait.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
Fey Trance,Fey,,,"You don't need to sleep, and magic can't put you to sleep. You can finish a short rest in 4 hours if you spend those hours in a trancelike meditation, during which you retain consciousness.",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
Eyes of the Feywild,Fey,,Darkvision,"The range of your darkvision increases by 30 feet. Additionally, while in darkness you can discern whether a creature currently has a magic effect on them. An arcana check may reveal the spell school at DMs discretion.",,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
Fey Blood,Fey,,Fey or Fey Ancestry Trait,"If you have the Fey Ancestry trait your creature type becomes fey. If your creature type is fey you gain the Fey Ancestry trait: 
You have advantage on saving throws you make to avoid or end the charmed condition on yourself.",,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Feywild Navigator,Fey,,,"Choose one of the following skills: Survival, Investigation, Perception, Stealth, or Nature. Whenever you make a check with this skill you can choose to use your Charisma modifier instead of another ability score.",,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Novice Fey Bargainer,Fey,,,"Choose two of the following skills: Persuasion, Deception, Insight. You have advantage in one of these skills and disadvantage in another. ",,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Advanced Gnome Tinkering ,Fey,,Rock Gnome,When you use your Tinker trait you can also choose to make a machine that emulates any cantrip of your choice. You can activate this machine as an action (no matter the cantrip) while you are within 30 feet of it. The cantrip uses your Intelligence as its spellcasting ability. ,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
What do your gnomish eyes see?,Fey,,Gnome,You gain 1 foot of True Sight. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
Sapphire Weapon Training,Gem,Sapphire,,"Your connection to sapphire dragons provides you with the power to hone your skills with a weapon. Pick one martial weapon, you get proficiency with this weapon and your Gem traits count as Ingens Orenth traits for the purpose of gaining access to higher tier Orenth traits. ",,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
Intuitive Gravity,Gem,Amethyst,,"As a reaction to seeing a drop that would result in fall damage, you may roll the damage this fall would cause. Your character knows the value of this roll. Anything that would subsequently take this damage will use your damage roll instead of rolling for themselves.",,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Subtle Magic Adept ,Gem,Emerald,,You've adapted the quiet casting of an Emerald Dragon. When you cast a cantrip you can choose to ignore verbal and somatic components. You can use this feature a number of times equal to your Intelligence modifier. You regain all uses on a long rest.,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Who is who,Gem,Emerald,Emerald Dragonborn,"Once per long rest when you use your breath weapon you may apply an addition effect to it. Any creature that took damage from your breath gets the spell Disguise Self cast upon them as if you had cast the spell, making them look like you. This effect lasts for 1 minute or until you lose concentration. ",,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Illusory Core,Gem,Emerald,,This trait counts as an orenth trait of any type. Additionally you can make your other orenth abilities look like a different type using illusions. ,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
Emerald Fire,Gem,Emerald,,"Once per turn when you deal fire damage, you may also deal an additional 1d4 psychic damage. ",,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Mental Prowess Estimation,Gem,Jade,A Tier 1 Fey Orenth Trait,"As a bonus action you can observe the behaviour of a creature to get a sense of their mental state. Make an Intelligence (Insight) check against their Charisma score. On a success you learn which of their mental ability scores is the highest and which is the lowest, and whether they have proficiency in any mental saving throws.
You may use this ability a number of times equal to your Intelligence modifier and regain all uses after a long rest.",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
I'm pretty sure you're willing,Gem,Jade,A tier 1 Fey trait,"You may target an unwilling creature with a spell that requires a willing creature. The creature must make a Wisdom saving throw (DC = 8+your prof. bonus + your Intelligence modifier), on a failure, the spell is cast upon them and you may not use this feature again until you finish a long rest. On a success, you spend the spellslot but nothing happens. ",,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Connected to your Ancestry,Gem,Ruby,Reborn,You gain a tier 1 trait from the Orenth type related to your original race. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
How did I die from that last time?,Gem,Ruby,Reborn,Pick a non-physical damage type. You gain resistance to this damage. ,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Undead Skill,Gem,Ruby,Reborn,"Pick one of the following skills: Athletics, Medicine, History, Arcana, Religion, Nature. You gain proficiency in the skill and you can use Constitution instead of the normal ability whenever you make a skill check. ",,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Send them to Sardior,Gem,Ruby,,"Whenever you reduce a creature to 0 hit points you may choose to have one of the following things happen, depending on the creature's alignment. You may choose which alignment if the creature has multiple, such as Chaotic Good. 
Good: Any creature of your choice within 15 feet of the creature that died gains temporary hit points equal to your Intelligence modifier. 
Evil: Any creature of your choice within 15 feet of the creature that died takes necrotic damage equal to your Intelligence modifier. 
Neutral: A creature of your choice within 30 feet of the creature that died can cast a cantrip with a casting time of one action, as a reaction. 
Chaotic: A creature of your choice within 30 feet of the creature that must immediately use its reaction to make a melee attack against a creature within 5 feet of it. 
Unaligned: A familiar appears in the dead creature's space as if you had cast find familiar. The familiar is undead and remains for 10 minutes. 
You may use this ability a number of times equal to your Intelligence modifier and regain all uses after a long rest. After the effect ends the soul of the creature safely passes to Sardior. ",,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Orenth Sense,Gem,Ruby,,As a bonus action you can sense what Orenth type a creature is most aligned to and what Orenth traits they have. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,
Post Mortem Estimator ,Gem,Topaz,,"As an action you can somewhat accurately determine the time that has passed since a creature has died, rounded to an amount of time the DM thinks sounds right at the time. For example, 134 years dead would give you an estimate of 100 years, 25 seconds dead would give you an estimation of 30 seconds dead.",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
Increased Entropy,Gem,Topaz,,Whenever you take fire damage your speed increases by 15 feet until the end of your next turn. ,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
Play Dead,Gem,Topaz,,Once per long rest you may cast Feign Death on yourself a reaction to taking damage. ,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
Shared Life,Gem,Topaz,,While taking a short rest you may take the hit dice of a willing creature who is also taking a short rest and roll them to regain your own hit points. ,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
Psionic Reach,Gem,Weapon Mastery,,At the start of your turn you can choose to telekinetically fling your weapon across the battlefield. Until the end of your turn your reach becomes 30 feet. You may use this trait a number of times equal to your Intelligence modifier and regain all uses after a long rest.,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Psionic Projectiles,Gem,Weapon Mastery,,Once per turn when you hit with a ranged weapon or spell attack you may choose to pull the creature 10 feet towards you. You may do this a number of times equal to your Intelligence modifier and regain all uses after a long rest.,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
Sapping Strikes,Gem,Weapon Mastery,,"Choose a melee weapon that has no properties that you have proficiency with. Whenever you hit a creature with this weapon, it is unable to regain hit points until the start of your next turn. ",,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Telekinetic Weapon,Gem,Weapon Mastery,,"Once per turn when you hit a creature that is no more than 1 size larger than you with a melee weapon attack or unarmed strike, you may choose to push it 15 feet in a horizontal direction of your choosing. You may use this ability a number of times equal to your intelligence modifier, and regain all uses after a long rest. ",,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
Gem Kobold maleability,Gem,,Kobold,"Whenever you finish a short rest in an area where a gem dragons presence has an effect on the environment, you may choose to change one of your Gem Orenth traits to one connected to that dragon type. You cannot change this trait in this way.
Additionally you more easily blend in with other kobolds. You have advantage on Dexterity (Stealth) and Charisma (Deception) checks made to convince others that you are a different kind of kobold.",,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
Enhanced Gem Breath Weapons,Gem,,Dragonborn,"Your breath weapon deals 1d10 extra damage, and you may calculate the save DC using your Intelligence modifier instead of your Constitution modifier.",,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Gem Shell Defense,Gem,,Tortle,"You gain resistance to one of the following damage types (choose when you pick this trait): necrotic, psychic, force, thunder or radiant.",,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Telepathic Link,Gem,,,"As an action, you can psionically link yourself to a willing creature you share a language with. For the next hour, you can mentally communicate with them as long as you are on the same plane of existence. You may use this feature once per long rest. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
Information Gatherer,Gem,,Kobold,"Pick one of the following skills: Stealth, Medicine, Insight, Perception, Crafting or Persuasion. Whenever you make a check with this skill you can choose to use your Intelligence modifier instead of another ability score.",,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Psionic Fighting Adept,Gem,,Gem Kobold,"When wielding a light weapon, you may choose to use your Intelligence in place of Strength of Dexterity for the attack and damage rolls.",,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Dragon Spellcasting,Gem,,,Once per long rest you may change the saving throw of a spell you cast to an Intelligence saving throw.,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Cooling Ears,Gem,,Loxodon,"Because of your big ears you are able to cool off quickly, giving you resistance to fire damage. ",,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Partial Retraction,Gem,,Tortle,"You can partially retract yourself into your shell, which will still allow you to move at half your speed. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
Giant's Heritage,Ingens,Giant,,"The strength of the giants flows within you. You count as one size larger when determining your carrying capacity and the weight you can push, drag, or lift. You have can also easily acclimate to cold climates and heights. ",,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
