Name,Type,Subtype,Prerequisite,Description,2024 Notes,Martial,Spellcasting,Mastery,Offensive,Defensive,Skill,Racial,Flavour,Exclusive,Prereq,Rest,Exploration,Roleplay,Movement,Meta,Piety
Heat Stroke,Cosmic,Sun,,As an action you can channel the exhaustive heat of the sun. For the next minute any creature of your choice that starts its turn within 10 feet of you must succeed on a Constitution saving throw (DC = 8+your Proficiency Bonus + your Constitution modifier). On a failure they gain a exhaustion levels equal to your proficiency bonus that while they are within 10 feet of you and your aura remains. On a success they become immune to the effect for the next hour. Uses: Constitution/Long rest,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Burning Touch,Cosmic,Sun,,Once per turn when you hit with an unarmed strike you may deal fire damage to the creature equal to your Proficiency bonus. Additionally whenever a creature starts its turn being grappled they also take fire damage equal to your Proficiency bonus. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Burned Memories of the Amnizu,Cosmic,Sun,,You may traitcast Modify Memory using Charisma. On a successful save the creature takes fire damage equal to twice your level. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Little sustenance needed,Fey,Elf,,"Little Sips* You can drink from a potion twice and get the full effect both times. No other creature can drink the second half of the potion.
Little Bites* You only need to drink and eat half as much. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Shroud of the Wilderness,Fey,Elf,Wood Elf,"While you are in an area that is lightly obscured, you can Hide as a bonus action even if you are being directly observed.",Tier 4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Goblin Magic,Fey,Gobos,Goblin,"You are in tune with your Fey ancestry. You learn the Prestidigitation cantrip. In addition, once per turn when you hit a creature with a spell attack you can do 2d6 extra damage if an ally is within 5 feet of the target.",wtf is this,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Efficiency of the Small,Fey,Gobos,Goblin,"You have become efficient with managing your movements in battle._ 
As a bonus action you can select two options from your Nimble Escape feature at the same time. If you have the Cunning Action feature you can also pick one of those options.",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Goblin Ferocity,Fey,Gobos,Goblin,Your feral nature allows you to move faster. As a bonus action you can move up to your speed to a target. If you move 30 feet in a straight line you are allowed to make a melee weapon attack as part of the Bonus Action. Uses: Proficiency/Long rest,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Faster than your Shadow,Fey,Weapon Mastery,Goblin,You may make an opportunity attack against a creature moved forcefully. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Opportunity of Many,Gem,Weapon Mastery,"Hobgoblin, Exclusive",Choose a weapon you are proficient with that has the Two-Handed property. While flanking an opponent you get advantage on the attack roll when wielding this weapon.,Replace weapon mastery,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Master Fey Bargainer,Fey,,{@optfeature Expert Fey Bargainer |feyorenth},Whenever you roll with advantage you roll three dice and take the highest one. Whenever you roll with disadvantage you roll three dice and the lowest one.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Improved Moonstone Steps,Metallic,Moonstone,{@optfeature Moonstone Steps|metallicorenth},You have become more adept at using your Moonstone Steps casually. When you use your bonus action for Moonstone Steps you don’t provoke attacks of opportunity. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Anti Parallel Timelines,Gem,Crystal,,Once per long rest as a reaction to taking damage you take no damage and gain a number of temporary hit points equal to the damage dealt instead. ,Tier 4 probably,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Illusory Duplicates,Gem,Emerald,,"At the start of your turn you may choose to create an illusory duplicate of yourself. Both versions of you can move up to your movement speed, but you share your action and bonus action. If you have the Extra Attack ability you can split the extra attack(s) between your two versions. At the end of your turn you decide which one is the real you and the duplicate dissapears. Both versions of you share the same hp pool, so whenever one takes damage the other takes the same damage. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ruby Rest,Gem,Ruby,10+ piety with Sardior,Whenever you take a short rest you may choose two Gem Rest Orenth effects to apply to you. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Spooky Ghost Boy,Gem,Ruby,Reborn,"As a bonus action you get a flying speed equal to your walking speed for the next minute, you can hover and you can move through creatures but not end your turn inside of them. Uses: 1/Long rest",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Old habits didn't die,Gem,Ruby,Reborn,Whenever you make an ability check have proficiency with you may choose to not roll and take 10 instead. Uses: Intelligence/Long rest,BOring,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Sent with a mission from Sardior,Gem,Ruby,Reborn,You are so focused on your task given to you by Sardior you can't be distracted easily. You have advantage on Constitution saving throws made to maintain concentration and saving throws to avoid being charmed. ,BooRING,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Dragonborn of Sardior,Gem,Ruby,Gem Dragonborn,"You count as every type of gem dragonborn for the sake of Orenth Prerequisites, and you do not need to meet any Sardior piety prerequisite. Additionally, you may pick a tier 2 Orenth trait",Should be tier 1 like the tiamat one,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Echolocation,Gem,Sapphire,,You have blindsight out to 30 feet while you aren't deafened.  ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Shell Shock,Gem,Sapphire,,Whenever you deal thunder damage to a creature you may force them to make a Constitution saving throw (DC=8+your your proficiency bonus + your Intelligence modifier). On a a failure they lose any bonus they had to their armour class due to natural armour until the end of your next turn. Uses: Intelligence/Long rest,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Temporary Resurrection,Gem,Topaz,,When you reduce a creature to 0 hit points you may use your reaction to keep its corpse under your temporary control. The creature regains 1 hit point and becomes charmed by you until the end of your next turn. While charmed you can give it commands that it must obey (no action from you required). Uses: Intelligence/Long rest,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Drain its life,Gem,Weapon Mastery,Exclusive,You gain the benefits of the {@optfeature Sap|ingensorenth} Orenth trait. After you use your Sap Orenth trait the creature only deals half damage on the next attack that hits. ,Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Psionic Cleave,Gem,Weapon Mastery,Exclusive,"You get the benefits of the {@optfeature Cleave|ingensorenth} Orenth trait. Additionally, wheneveryou make the second attack, the second creature must be within 10 feet of the original but not necessarilily within your reach. ",Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Slowing Winds,Chromatic,Weapon Mastery,Exclusive,"You gain the benefits of the {@optfeature Slow|ingensorenth} Orenth trait. Additionally, whenever you reduce a creature's speed your own speed increases by 10 feet until the end of your turn. ",Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Elegant Fighting,Ingens,Weapon Mastery,Exclusive,Pick one weapon that you have proficiency with that lacks the Finesse trait. This weapon is now considered a Finesse weapon when you wield it. ,Remove,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mastery over Body and Mind,Gem,Weapon Mastery,Exclusive,"You gain the benefits of the {@optfeature Elegant Fighting|gemorenth} Orenth trait. Additionally, you may use your Intelligence instead of your Strength or Dexterity for attack and damage rolls when fighting with a Finesse weapon. ",Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Cosmic Orenth Transmuter,Gem,,,"As an action you can touch an aberration or fiend that has been killed within the last minute. It must have a minimum CR of 7. Over the course of the next hour the Cosmic Orenth of the creature is captured inside a newly created Gem Stalker of an appropriate colour. This Gem Stalker remains under your control until you start a long rest, which is when it learns the location of the nearest Gem Dragon that matches its type and comes under their control instead. You may only create a Gem Stalker in this way when you have none under your control.",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Gem Snack Summoner,Gem,,,"You may traitcast {@spell Summon Beast} using Intelligence. The type of beast it summons depends on the Gem type you associate with as seen in the {@table Snack Summon table|oreorenth}
When you traitcast the spell in this way it requires no components. If you kill the beast you regain a number of hit points equal to 5 times your proficiency bonus. Once you attack the beast it is no longer an ally and will fight back, but won’t run. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Arcane Connection,Gem,,,"You can cast any spell you can cast once per long rest because of a racial trait, once per short rest instead. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Gem Resistance,Gem,,,"Resistances* You gain resistance to one of the following pairs of damage types: force and psychic, thunder and lightning, psychic and fire, necrotic and acid, or cold and radiant damage. 
Damage Transmutor* Whenever someone rolls for damage within 30 feet of you you may use your reaction to change the damage type to one of the ones you gained resistance to from this trait. Uses: Intelligence/Long rest",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Induced Gravity,Gem,Weapon Mastery,Exclusive,"You gain the benefits of the {@optfeature Slow|ingensorenth} Orenth trait. Additionally, any creature of your choice within 10 feet of the creature you slowed also has its speed reduced by 10 feet until the start of your next turn. ",Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Friendly Strikes,Gem,Weapon Mastery,"Exclusive, a Tier 1 Fey Orenth trait. ","You gain the benefits of the {@optfeature Sap|ingensorenth} Orenth trait. Additionally, whenever you hit a creature you may choose to charm them instead. They must make a Wisdom saving throw (DC = 8+your proficiency bonus+your Intelligence modifier). On a failed save they become charmed by you until the start of your next turn. On a successful save nothing happens (and they also don't gain disadvantage on their next attack against you). Uses: Intelligence/Long rest",Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Induced Intoxication,Ingens,Giant,Dwarf,"The alcohol finally kicks in._ 
As a bonus action you can gain the following effects for the next hour:
Drunken Stupor* You have disadvantage on Intelligence and Wisdom ability checks and saving throws. 
Drunken Fortitude* Your current hit points and hit point maximum increase by an amount equal to your level, and you gain a number of temporary hit points equal to your constitution modifier at the start of each of your turns. 
This trait automatically activates when you drop to 0 hit points. Uses: 1/Long rest or 1/Short rest if you had alcohol during the short rest. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Iron Skin,Ingens,Giant,,"Your skin hardens like iron, giving you resistance to bludgeoning, piercing or slashing damage. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Grounded,Ingens,Giant,Dwarf,As a reaction you can become immune to lightning damage until the end of your next turn. You may use this ability a number of times equal to your proficiency bonus and regain all uses at the end of a Long Rest. ,Remove,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Body Slam,Ingens,Giant,Goliath,While grappling a creature you may use the creature as a weapon. Your unarmed strikes against other creatures deal an additional 1d4 bludgeoning damage and whenever you hit a creature the creature you are grappling also takes 1d4 bludgeoning damage. ,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
It's the little things that count,Ingens,Little Folk,,You may pick 3 tier 1 Orenth traits of any type. These traits count as Ingens Orenth traits for you. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ooblek Armor,Ingens,Ooze,,Whenever you take damage you may use your reaction to increase your AC by the number of damage dice dealt until the end of your next turn. ,Really Strong??,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Constricted Constrict,Ingens,Oceanic,{@optfeature Constrict|ingensorenth} ,"After you grapple a creature you may attempt to grapple the creature again, restraining the creature on a success. If the creature escapes your grapple the restrained condition also ends. ",,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Rapid Adaptation,Ingens,Ooze,{@optfeature Oobleck Armor|ingensorenth},As a reaction to taking damage you can become resistant to that damage until the end of your next turn. Uses: Constitution/Long rest,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Charge,Ingens,Weapon Mastery,Exclusive,"Choose a weapon that you have proficiency with that has the Heavy and Reach property. If you move at least 20 feet straight toward a creature before hitting it with an attack with this weapon, the target takes an extra 1d12 damage and must make a Strength saving throw with a DC equal to 8 + your Proficiency Bonus + the ability modifier you used to make the attack roll. On a failure, the target falls prone.",Change to replace weapon mastery,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Graze,Ingens,Weapon Mastery,Exclusive,"Choose a melee weapon that you have proficiency with that has the Heavy property. If your attack roll with this weapon misses a creature, you can deal damage to that creature equal to the ability modifier you used to make the attack roll. This damage is the same type dealt by the weapon, and the damage can’t be increased in any way, other than increasing the ability modifier.",Remove,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Nick,Ingens,Weapon Mastery,Exclusive,"Choose a weapon that you have proficiency with that has the Light property, your Unarmed Strike if you have the Martial Arts feature or a Double Bladed Scimitar if you have the Revenant Blade Feat. When you make the extra attack of the Light property, you can make it as part of the Attack action, instead of as a Bonus Action. 
If you have the Martial Arts feature you can instead make an unarmed strike as part of the action. If you use the Flurry of Blows feature you can spend 1 ki to make an additional unarmed strike as a bonus action. 
You can still make this extra attack only once per turn. ",Remove,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Push,Ingens,Weapon Mastery,Exclusive,"Choose a weapon that you have proficiency with that has the Heavy, Two-Handed or Versatile Property. If you hit a creature with this weapon, you may push them up to 10 feet away from you horizontally, if it is no more than one size larger than you.  ",Remove,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Topple,Ingens,Weapon Mastery,Exclusive,"Choose a weapon that you have proficiency with that has the Heavy, Reach or Versatile property. Once per turn when you hit a creature no more than one size larger than you with this weapon, you can force the creature to make a Strength saving throw with a DC equal to 8 + your Proficiency Bonus + the ability modifier you used to make the attack roll. On a failed save, the creature has the Prone condition.",Remove,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vex,Ingens,Weapon Mastery,Exclusive,"Choose a weapon that you have proficiency with that has the Ammunition, Finesse, or Light property. If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn.",Remove,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Deadliest Weapon,Ingens,Weapon Mastery,,"You gain a tier 2 Orenth trait with the Weapon Mastery subtype. Additionally, you may apply two different Orenth traits with the Exclusive prerequisite to the same weapon. ",Remove,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
